"","treeID","stemID","dbh","genus","species","Family"
"349",4947,4947,4.770000076,"Carya","tomentosa","Juglandaceae"
"350",6194,6194,12.63000031,"Carya","tomentosa","Juglandaceae"
"351",6069,6069,23.41000061,"Carya","tomentosa","Juglandaceae"
"352",6100,6100,12.8,"Carya","tomentosa","Juglandaceae"
"353",6183,6183,5.079999924,"Carya","tomentosa","Juglandaceae"
"354",6141,6141,5.9,"Carya","tomentosa","Juglandaceae"
"355",6012,6012,14.38000031,"Carya","tomentosa","Juglandaceae"
"356",3847,3847,5.120000076,"Carya","tomentosa","Juglandaceae"
"357",5080,5080,2.360000038,"Carya","tomentosa","Juglandaceae"
"358",6151,6151,1.670000076,"Carya","tomentosa","Juglandaceae"
"359",5487,5487,3.5,"Carya","tomentosa","Juglandaceae"
"360",3827,3827,2.279999924,"Carya","tomentosa","Juglandaceae"
"361",6072,6072,3.179999924,"Carya","tomentosa","Juglandaceae"
"362",6094,6094,25.68999939,"Carya","tomentosa","Juglandaceae"
"363",6136,6136,3.459999847,"Carya","tomentosa","Juglandaceae"
"364",1039,1039,17.18000031,"Carya","tomentosa","Juglandaceae"
"365",4923,37186,1,"Cercis","canadensis","Fabaceae"
"366",6028,6028,11.18000031,"Cercis","canadensis","Fabaceae"
"367",4923,4923,4.159999847,"Cercis","canadensis","Fabaceae"
"368",6133,6133,1.789999962,"Cercis","canadensis","Fabaceae"
"369",4857,4857,13.83999939,"Cercis","canadensis","Fabaceae"
"370",6114,6114,2.3,"Cercis","canadensis","Fabaceae"
"371",4870,4870,5.95,"Cercis","canadensis","Fabaceae"
"372",4904,4904,1.360000038,"Cercis","canadensis","Fabaceae"
"373",6104,6104,5.7,"Cercis","canadensis","Fabaceae"
"374",4923,32799,1.3,"Cercis","canadensis","Fabaceae"
"375",6114,32949,1.430000019,"Cercis","canadensis","Fabaceae"
"376",4897,4897,3.940000153,"Cercis","canadensis","Fabaceae"
"377",4896,4896,3.379999924,"Cercis","canadensis","Fabaceae"
"378",1167,1167,19.98000031,"Cercis","canadensis","Fabaceae"
"379",4892,4892,3.390000153,"Cercis","canadensis","Fabaceae"
"380",4911,4911,2.370000076,"Cercis","canadensis","Fabaceae"
"381",4859,32787,5.059999847,"Cercis","canadensis","Fabaceae"
"382",6095,6095,5.2,"Cercis","canadensis","Fabaceae"
"383",3716,3716,4.1,"Cercis","canadensis","Fabaceae"
"384",3945,3945,9.109999847,"Cercis","canadensis","Fabaceae"
"385",4918,4918,2.029999924,"Cercis","canadensis","Fabaceae"
"386",5997,5997,4.7,"Cercis","canadensis","Fabaceae"
"387",6128,6128,1.369999981,"Cercis","canadensis","Fabaceae"
"388",4913,4913,3.720000076,"Cercis","canadensis","Fabaceae"
"389",4918,32796,1.789999962,"Cercis","canadensis","Fabaceae"
"390",2717,2717,21.45,"Celtis","occidentalis","Cannabaceae"
"391",1113,1113,15.91000061,"Celtis","occidentalis","Cannabaceae"
"392",2463,2463,23.78999939,"Celtis","occidentalis","Cannabaceae"
"393",1117,1117,8.259999847,"Celtis","occidentalis","Cannabaceae"
"394",1108,1108,10.23000031,"Celtis","occidentalis","Cannabaceae"
"395",1115,1115,41.18999939,"Celtis","occidentalis","Cannabaceae"
"396",1107,1107,12.40999985,"Celtis","occidentalis","Cannabaceae"
"397",1013,1013,20.58999939,"Celtis","occidentalis","Cannabaceae"
"398",1105,1105,8.780000305,"Celtis","occidentalis","Cannabaceae"
"399",3697,3697,8.319999695,"Celtis","occidentalis","Cannabaceae"
"400",2648,2648,8.180000305,"Celtis","occidentalis","Cannabaceae"
"401",2626,2626,10.60999985,"Celtis","occidentalis","Cannabaceae"
"402",2348,2348,5.829999924,"Celtis","occidentalis","Cannabaceae"
"403",2627,2627,11.80999985,"Celtis","occidentalis","Cannabaceae"
"404",2377,2377,20.28000031,"Celtis","occidentalis","Cannabaceae"
"405",3679,3679,7.409999847,"Celtis","occidentalis","Cannabaceae"
